;;;;;;;
Anexo I - FDCA Fundos Habilitados 2023;;;;;;;
;;;;;;;
N�;CNPJ;IBGE;UF;Munic�pio/Estado;Banco;Ag�ncia;Conta
185;18026875000128;2914505;BA;Irar�;001;0593;00000000000000025119
186;13362784000140;2914604;BA;Irec�;001;0548;00000000000000564451
187;17968130000115;2914653;BA;Itabela;001;4493;00000000000000010006
188;16866098000102;2914802;BA;Itabuna;001;3445;0000000000000026363X
189;33439595000135;2915908;BA;Itanagra;001;1094;00000000000000298204
190;43857670000131;2916104;BA;Itaparica;001;3921;00000000000002667355
191;22399551000102;2916302;BA;Itapebi;001;0792;00000000000000725277
192;29909951000160;2916609;BA;Itapitanga;001;1079;00000000000000117250
193;19400926000100;2916856;BA;Itatim;001;1133;00000000000000372242
194;18114813000178;2916906;BA;Itiru�u;001;1084;00000000000000270334
195;21241224000165;2917003;BA;Iti�ba;001;1080;00000000000000289884
196;47411366000117;2917102;BA;Itoror�;001;1287;00000000000000222593
197;13991386000192;2917300;BA;Ituber�;001;1081;00000000000000239224
198;43628948000107;2917359;BA;Jaborandi;001;0569;00000000000000422460
199;19004991000109;2917508;BA;Jacobina;001;0135;00000000000000450170
200;21139305000159;2917607;BA;Jaguaquara;001;1084;00000000000000248185
201;12584230000124;2917904;BA;Janda�ra;001;1288;00000000000000213462
202;21433472000108;2918001;BA;Jequi�;001;0060;00000000000000643106
203;30160114000160;2918209;BA;Jiquiri��;001;4188;00000000000000112720
204;23257133000143;2918308;BA;Jita�na;001;2216;00000000000000184128
205;20686658000106;2918357;BA;Jo�o Dourado;001;0548;00000000000001566873
206;19526600000116;2918407;BA;Juazeiro;001;0069;00000000000000809306
207;22683264000120;2918506;BA;Jussara;001;2231;00000000000000139831
208;31652818000112;2918605;BA;Jussiape;001;2540;00000000000000198714
209;23267296000107;2919009;BA;Lajedinho;001;0595;00000000000000254983
210;43183138000186;2919157;BA;Lap�o;001;3842;00000000000000196576
211;33912127000136;2919207;BA;Lauro de Freitas;001;4340;00000000000000550396
212;33228657000160;2919306;BA;Len��is;001;0251;00000000000000183512
213;44032344000158;2919504;BA;Livramento de Nossa Senhora;001;1089;00000000000000296244
214;22406660000100;2919553;BA;Lu�s Eduardo Magalh�es;001;4624;00000000000000142026
215;31746443000150;2919801;BA;Maca�bas;001;1091;00000000000000404357
216;31066539000177;2919926;BA;Madre de Deus;001;3861;00000000000000224529
217;36703029000187;2920007;BA;Maiquinique;001;0689;00000000000000198226
218;16434410000180;2920403;BA;Manoel Vitorino;001;0556;00000000000000253952
219;28905582000174;2920502;BA;Marac�s;001;0946;00000000000000272051
220;18614745000106;2920700;BA;Mara�;104;3528;00000000000000000157
221;13688860000101;2920908;BA;Mascote;001;0837;00000000000000325325
222;23786673000114;2921005;BA;Mata de S�o Jo�o;001;1094;00000000000000261939
223;24108511000190;2921203;BA;Miguel Calmon;001;1096;00000000000000177237
224;42964738000119;2921401;BA;Mirangaba;001;2305;00000000000000162302
225;24044527000186;2921500;BA;Monte Santo;001;4498;00000000000000151408
226;24515007000104;2921609;BA;Morpar�;104;3508;00000000000000710120
227;17827978000124;2921906;BA;Mucug�;001;1707;00000000000000011002
228;31731900000132;2922003;BA;Mucuri;001;4491;00000000000000146005
229;21154728000148;2922052;BA;Mulungu do Morro;001;1696;0000000000000009207X
230;24118406000131;2922300;BA;Muritiba;104;4826;00000000000000710459
231;21164977000114;2922409;BA;Mutu�pe;001;1101;00000000000000258334
232;28985485000139;2922508;BA;Nazar�;001;0238;00000000000000330779
233;19240830000114;2922607;BA;Nilo Pe�anha;001;2710;00000000000000170003
234;20694795000192;2922656;BA;Nordestina;001;4100;00000000000000103756
235;23341065000104;2922755;BA;Nova Ibi�;001;0846;00000000000000286621
236;17878972000186;2923035;BA;Novo Horizonte;001;0985;00000000000000307831
237;45072845000120;2923357;BA;Ourol�ndia;001;0135;00000000000000619795
238;28831993000162;2923605;BA;Paramirim;001;2399;00000000000000233447
239;23123974000168;2923803;BA;Paripiranga;001;1107;00000000000000256013
240;23435296000179;2923902;BA;Pau Brasil;001;0837;0000000000000032521X
241;28221106000134;2924009;BA;Paulo Afonso;104;0985;00000000000000710470
242;21476283000112;2924058;BA;P� de Serra;001;0684;00000000000000363162
243;18767717000129;2924678;BA;Pira� do Norte;001;0846;00000000000000240400
244;44629027000113;2924900;BA;Planaltino;001;0946;00000000000000308579
245;21110807000157;2925006;BA;Planalto;001;2464;00000000000000163457
246;21033475000154;2925105;BA;Po��es;001;0556;00000000000000250015
247;35974652000101;2925204;BA;Pojuca;001;3268;00000000000000290475
248;16915812000105;2925501;BA;Prado;001;1118;00000000000000186376
249;17946758000110;2925600;BA;Presidente Dutra;001;2499;00000000000000109592
250;07652913000131;2925758;BA;Presidente Tancredo Neves;001;4147;00000000000000064831
251;36429163000131;2925907;BA;Quijingue;001;0791;00000000000000471356
252;19456076000154;2925931;BA;Quixabeira;001;3046;00000000000000235504
253;23646020000130;2926103;BA;Retirol�ndia;001;4185;00000000000000090565
254;32822525000107;2926301;BA;Riach�o do Jacu�pe;001;0684;00000000000000371742
255;29333922000100;2926400;BA;Riacho de Santana;001;1123;00000000000000035018
256;28146465000174;2926707;BA;Rio de Contas;001;2540;00000000000000194751
257;46867940000183;2926806;BA;Rio do Ant�nio;001;3835;00000000000000157104
258;00459245000181;2927408;BA;Salvador;001;3832;00000000000009301534
259;24543327000178;2927507;BA;Santa B�rbara;001;2569;00000000000000163589
260;27422767000165;2927705;BA;Santa Cruz Cabr�lia;001;2574;00000000000000194220
261;44599401000185;2927903;BA;Santa In�s;001;1163;00000000000000272426
262;42951929000146;2928109;BA;Santa Maria da Vit�ria;001;0569;00000000000000042211
263;20413809000152;2928604;BA;Santo Amaro;001;0059;00000000000000323136
264;21481344000130;2928703;BA;Santo Ant�nio de Jesus;001;0563;00000000000000690112
265;18022737000170;2928802;BA;Santo Est�v�o;001;1133;00000000000000441791
266;33333070000110;2928950;BA;S�o Domingos;001;4191;00000000000000060607
267;18035453000119;2929107;BA;S�o Felipe;001;2616;0000000000000014066X
268;19132514000129;2929008;BA;S�o F�lix;001;0040;00000000000000249262
269;23740946000190;2929057;BA;S�o F�lix do Coribe;001;4174;00000000000000096806
270;31118527000149;2929206;BA;S�o Francisco do Conde;001;4577;00000000000000184977
271;29845731000110;2929255;BA;S�o Gabriel;001;0548;00000000000000545538
272;28951702000170;2929305;BA;S�o Gon�alo dos Campos;104;0074;00000000000000710035
273;29440158000164;2929370;BA;S�o Jos� do Jacu�pe;001;3046;00000000000000268208
274;18702153000146;2929503;BA;S�o Sebasti�o do Pass�;001;1143;00000000000000255750
275;21235561000140;2929800;BA;Sa�de;001;4572;00000000000000096385
276;38145582000177;2929909;BA;Seabra;001;0985;00000000000000434825
277;21222605000105;2930105;BA;Senhor do Bonfim;001;0228;00000000000000372579
278;29988055000133;2930154;BA;Serra do Ramalho;001;1247;0000000000000021762X
279;23529226000180;2930402;BA;Serra Preta;104;3233;00000000000000710118
280;20441232000192;2930709;BA;Sim�es Filho;104;2150;00000000000000002420
281;11355763000171;2930774;BA;Sobradinho;001;4623;00000000000000140228
282;30768056000151;2930808;BA;Souto Soares;001;2141;00000000000000185256
283;23218375000128;2930907;BA;Tabocas do Brejo Velho;001;2680;00000000000000226238
284;28862793000177;2931004;BA;Tanha�u;001;1152;0000000000000025133X
285;18003687000184;2931103;BA;Tanquinho;001;0684;00000000000001175009
286;22652953000177;2931301;BA;Tapiramut�;001;8160;00000000000000019607
287;20513413000187;2931350;BA;Teixeira de Freitas;001;1289;00000000000000530891
288;23315870000155;2931400;BA;Teodoro Sampaio;001;4494;00000000000000222844
289;16825128000124;2931608;BA;Teol�ndia;001;2783;00000000000000220086
290;19868395000177;2931707;BA;Terra Nova;001;4183;00000000000000140708
291;22398016000137;2931905;BA;Tucano;001;4495;00000000000000141976
292;30050458000116;2932002;BA;Uau�;001;1291;00000000000000221333
293;23765984000105;2932101;BA;Uba�ra;001;1163;00000000000000250015
294;25531152000141;2932309;BA;Ubat�;001;1164;00000000000000146854
295;19215043000112;2932408;BA;Uiba�;001;2749;00000000000000119040
296;23893629000103;2932457;BA;Umburanas;104;0634;00000000000000710551
297;22939727000171;2932507;BA;Una;001;0999;00000000000000258296
298;19952876000166;2932606;BA;Urandi;001;2751;00000000000000038482
299;35763411000113;2932705;BA;Uru�uca;001;4721;00000000000000128708
300;11816244000163;2932804;BA;Utinga;001;2760;00000000000000145920
301;18596492000195;2932903;BA;Valen�a;001;0545;00000000000000481297
302;21164022000167;2933000;BA;Valente;001;1167;0000000000000025455X
303;30365106000150;2933158;BA;V�rzea Nova;001;4169;00000000000000099082
304;19377240000138;2933307;BA;Vit�ria da Conquista;001;0188;0000000000000090645X
305;42079722000123;2933505;BA;Wenceslau Guimar�es;001;2783;00000000000000224588
306;19357618000131;2933604;BA;Xique-Xique;104;1056;00000000000000710218
307;19091798000152;5300000;BR;Brasil (Fundo Nacional);GRU;GRU;GRU
308;28490685000110;2300101;CE;Abaiara;001;2300;00000000000000276170
309;20015325000155;2300150;CE;Acarape;001;1121;00000000000000347841
310;17829550000110;2300200;CE;Acara�;104;1955;00000000000000004604
311;15700196000102;2300309;CE;Acopiara;104;3838;00000000000000001353
312;31621081000170;2300507;CE;Alc�ntaras;001;4272;00000000000000286109
313;46052804000135;2300606;CE;Altaneira;001;4380;00000000000000148415
314;20662842000116;2300705;CE;Alto Santo;001;2701;0000000000000013578X
315;30565358000122;2300754;CE;Amontada;001;4159;00000000000000190969
316;21136054000159;2300903;CE;Apuiar�s;001;0962;00000000000000319767
317;18432077000104;2301000;CE;Aquiraz;001;1292;00000000000000353655
318;17969066000197;2301109;CE;Aracati;001;0121;00000000000000443271
319;42924911000155;2301257;CE;Ararend�;001;1409;00000000000000391298
320;18166357000100;2301307;CE;Araripe;001;1464;00000000000000176532
321;24259281000160;2301406;CE;Aratuba;001;0334;00000000000000274690
322;28844839000125;2301505;CE;Arneiroz;104;3443;00000000000000710365
323;15730017000171;2301604;CE;Assar�;001;1020;00000000000000232300
324;42237572000139;2301802;CE;Baixio;001;0547;00000000000000394130
325;43886212000120;2301950;CE;Barreira;001;4166;00000000000000163279
326;28819368000103;2302008;CE;Barro;001;2845;00000000000000203041
327;18245623000190;2302057;CE;Barroquinha;001;8176;00000000000000002003
328;33156296000193;2302107;CE;Baturit�;001;0334;00000000000000197971
329;18171253000193;2302206;CE;Beberibe;001;2850;00000000000000254029
330;17766248000160;2302305;CE;Bela Cruz;001;2851;00000000000000207284
331;30559001000131;2302404;CE;Boa Viagem;001;0898;00000000000000342246
332;12722169000134;2302503;CE;Brejo Santo;001;0640;00000000000000338311
333;32073841000115;2302602;CE;Camocim;104;0745;00000000000000710946
334;17100708000117;2302701;CE;Campos Sales;001;0733;00000000000000252611
335;19194062000100;2302800;CE;Canind�;001;1035;00000000000000411590
336;41032593000155;2302909;CE;Capistrano;001;3960;00000000000001054597
337;21240042000170;2303105;CE;Carir�;001;4272;00000000000000323225
338;26652462000187;2303204;CE;Cariria�u;001;1747;00000000000000182494
339;28401429000100;2303303;CE;Cari�s;001;4050;00000000000000134317
340;30534308000188;2303402;CE;Carnaubal;001;3958;00000000000000120707
341;23445041000197;2303501;CE;Cascavel;001;1039;00000000000000548758
342;43810740000104;2303600;CE;Catarina;001;1040;00000000000000153176
343;29936050000167;2303659;CE;Catunda;001;3954;0000000000000010437X
344;11655944000113;2303709;CE;Caucaia;001;1041;00000000000000790184
345;28888224000109;2303808;CE;Cedro;001;1293;00000000000000169048
346;18643929000102;2303907;CE;Chaval;001;3971;00000000000000150002
347;28845405000140;2303931;CE;Chor�;001;0241;00000000000000186333
348;31734434000149;2303956;CE;Chorozinho;001;4376;00000000000000149381
349;21460565000121;2304004;CE;Corea�;001;1799;00000000000000217859
350;13362750000155;2304103;CE;Crate�s;104;0747;00000000000000005798
351;19178238000130;2304202;CE;Crato;104;0684;00000000000000006393
352;17845313000143;2304251;CE;Cruz;001;4378;00000000000000151912
353;17804756000196;2304269;CE;Deputado Irapuan Pinheiro;001;1150;00000000000000199427
354;30127999000103;2304277;CE;Erer�;001;1074;00000000000000223301
355;14761583000188;2300000;CE;Estado do Cear�;001;0008;0000000000000025861X
356;19017150000136;2304285;CE;Eus�bio;104;4254;00000000000000000770
357;21380346000132;2304301;CE;Farias Brito;001;4552;00000000000000062952
358;20498824000140;2304350;CE;Forquilha;001;3919;00000000000000153672
359;18917900000163;2304400;CE;Fortaleza;001;0008;00000000000000264849
360;28831133000129;2304459;CE;Fortim;001;4379;00000000000000114677
361;03467745000153;2304509;CE;Frecheirinha;001;5663;00000000000000073032
362;15177737000151;2304608;CE;General Sampaio;001;0962;00000000000000408913
363;17941041000185;2304657;CE;Gra�a;001;3925;00000000000000105724
364;17745750000195;2304707;CE;Granja;001;2087;00000000000000237272
365;28912122000173;2304806;CE;Granjeiro;104;4413;00000000000000711069
366;14421052000146;2304905;CE;Groa�ras;001;0085;00000000000000550507
367;34683050000132;2304954;CE;Guai�ba;001;3967;00000000000000157546
368;33192607000170;2305001;CE;Guaraciaba do Norte;001;2093;00000000000000182680
369;32264868000195;2305100;CE;Guaramiranga;001;3982;00000000000000138096
370;21706400000197;2305233;CE;Horizonte;001;4554;00000000000000221147
371;21264550000198;2305308;CE;Ibiapina;001;0532;00000000000001062565
372;43733751000120;2305332;CE;Ibicuitinga;001;0863;00000000000000603759
373;18773311000159;2305357;CE;Icapu�;001;3879;00000000000000193119
374;18369550000148;2305407;CE;Ic�;001;0547;00000000000000394157
375;18395360000103;2305506;CE;Iguatu;104;0613;00000000000000006060
376;19671691000183;2305654;CE;Ipaporanga;001;0237;00000000000000365963
377;28958798000106;2305704;CE;Ipaumirim;001;0940;00000000000000288470
378;17990632000142;2305803;CE;Ipu;104;1423;00000000000000005616
379;13200559000107;2305902;CE;Ipueiras;001;4543;00000000000000122521
